,Node A,Node Z,Distance,Precipitation,Traffic
0,node 1,node 7,800,0,0.2543450596641202
1,node 1,node 11,800,0,0.24343515989620396
2,node 1,node 12,2400,0,0.2541878028129765
3,node 2,node 6,1200,0,0.4240366892965404
4,node 2,node 10,900,0,0.573476702287937
5,node 3,node 6,1100,0,0.834187790402509
6,node 3,node 8,800,0,0.19067875393901595
7,node 3,node 12,600,1,0.689210665793764
8,node 4,node 8,700,1,0.5072205710114686
9,node 4,node 10,700,0,0.12969296552103002
10,node 4,node 14,2800,0,0.19268425682107534
11,node 5,node 6,2000,0,0.3340049666412606
12,node 5,node 7,500,0,0.5682309452531664
13,node 5,node 11,300,1,0.4991187133819127
14,node 6,node 13,2000,0,0.441697826858416
15,node 7,node 10,500,0,0.16726819146181401
16,node 9,node 12,1000,0,0.7760595757506731
17,node 9,node 13,600,0,0.51433674212743
18,node 9,node 14,1100,0,0.12278710875427479
19,node 10,node 11,500,1,0.7410513679061008
20,node 13,node 14,1600,1,0.4509874236916882
